kode_bandara,nama_bandara,kategori,lokasi,date_create,date_modified
BTJ,Bandar Udara Sultan Iskandar Muda,Internasional,Banda Aceh,2021-02-10 22:14:07,2021-02-10 22:14:07
MES,Bandar Udara Polonia,Internasional,Medan,2021-02-10 22:14:07,2021-02-10 22:14:07
KNO,Bandar Udara Kualanamu,Internasional,Deli Serdang,2021-02-10 22:14:07,2021-02-10 22:14:07
TKG,Bandar Udara Radin Inten II,Internasional,Bandar Lampung,2021-02-10 22:14:07,2021-02-10 22:14:07
BTH,Bandar Udara Hang Nadim,Internasional,Batam,2021-02-10 22:14:07,2021-02-10 22:14:07
TNJ,Bandar Udara Raja Haji Fisabilillah,Internasional,Tanjung Pinang,2021-02-10 22:14:07,2021-02-10 22:14:07
PKU,Bandar Udara Sultan Syarif Kasim II,Internasional,Pekanbaru,2021-02-10 22:14:07,2021-02-10 22:14:07
PDG,Bandar Udara Minangkabau,Internasional,Padang,2021-02-10 22:14:07,2021-02-10 22:14:07
PLM,Bandar Udara Sultan Mahmud Badaruddin II,Internasional,Palembang,2021-02-10 22:14:07,2021-02-10 22:14:07
BKS,Bandar Udara Fatmawati Soekarno,Internasional,Bengkulu,2021-02-10 22:14:07,2021-02-10 22:14:07
CGK,Bandar Udara Soekarno-Hatta,Internasional,Banten,2021-02-10 22:14:07,2021-02-10 22:14:07
HLP,Bandar Udara Halim Perdanakusuma,Internasional,Jakarta,2021-02-10 22:14:07,2021-02-10 22:14:07
SUB,Bandar Udara Juanda,Internasional,Surabaya,2021-02-10 22:14:07,2021-02-10 22:14:07
SOC,Bandar Udara Adisumarmo,Internasional,Solo,2021-02-10 22:14:07,2021-02-10 22:14:07
JOG,Bandar Udara Adi Sucipto,Internasional,Yogyakarta,2021-02-10 22:14:07,2021-02-10 22:14:07
SRG,Bandar Udara Achmad Yani,Internasional,Semarang,2021-02-10 22:14:07,2021-02-10 22:14:07
BDO,Bandar Udara Husein Sastranegara,Internasional,Bandung,2021-02-10 22:14:07,2021-02-10 22:14:07
DPS,Bandar Udara Ngurah Rai,Internasional,Denpasar,2021-02-10 22:14:07,2021-02-10 22:14:07
AMI,Bandar Udara Selaparang,Internasional,Mataram,2021-02-10 22:14:07,2021-02-10 22:14:07
KOE,Bandar Udara El Tari,Internasional,Kupang,2021-02-10 22:14:07,2021-02-10 22:14:07
BPN,Bandar Udara Sepinggan,Internasional,Balikpapan,2021-02-10 22:14:07,2021-02-10 22:14:07
PNK,Bandar Udara Supadio,Internasional,Pontianak,2021-02-10 22:14:07,2021-02-10 22:14:07
TRK,Bandar Udara Juwata,Internasional,Tarakan,2021-02-10 22:14:07,2021-02-10 22:14:07
UPG,Bandar Udara Sultan Hasanuddin,Internasional,Makassar,2021-02-10 22:14:07,2021-02-10 22:14:07
MDC,Bandar Udara Sam Ratulangi,Internasional,Manado,2021-02-10 22:14:07,2021-02-10 22:14:07
AMQ,Bandar Udara Pattimura,Internasional,Ambon,2021-02-10 22:14:07,2021-02-10 22:14:07
DJJ,Bandar Udara Sentani,Internasional,Jayapura,2021-02-10 22:14:07,2021-02-10 22:14:07
BIK,Bandar Udara Frans Kaisiepo,Internasional,Biak,2021-02-10 22:14:07,2021-02-10 22:14:07
TIM,Bandar Udara Mozes Kilangin,Internasional,Tembagapura,2021-02-10 22:14:07,2021-02-10 22:14:07
MKQ,Bandar Udara Mopah,Internasional,Merauke,2021-02-10 22:14:07,2021-02-10 22:14:07
SBG,Bandar Udara Maimun Saleh,Domestik,Sabang,2021-02-10 22:14:07,2021-02-10 22:14:07
LSX,Bandar Udara Lhok Sukon,Domestik,Aceh Utara,2021-02-10 22:14:07,2021-02-10 22:14:07
LSW,Bandar Udara Malikus Saleh,Domestik,Lhokseumawe,2021-02-10 22:14:07,2021-02-10 22:14:07
MEQ,Bandar Udara Cut Nyak Dhien,Domestik,Nagan Raya,2021-02-10 22:14:07,2021-02-10 22:14:07
TPK,Bandar Udara Teuku Cut Ali,Domestik,Tapaktuan,2021-02-10 22:14:07,2021-02-10 22:14:07
SKL,Bandar Udara Syekh Hamzah Fansyuri,Domestik,Singkil,2021-02-10 22:14:07,2021-02-10 22:14:07
SNB,Bandar Udara Lasikin,Domestik,Sinabang,2021-02-10 22:14:07,2021-02-10 22:14:07
SIW,Bandar Udara Sibisa,Domestik,Toba Samosir,2021-02-10 22:14:07,2021-02-10 22:14:07
SQT,Bandar Udara Silangit,Domestik,Siborong-borong,2021-02-10 22:14:07,2021-02-10 22:14:07
SIX,Bandar Udara Dr. Ferdinand Lumban Tobing,Domestik,Sibolga,2021-02-10 22:14:07,2021-02-10 22:14:07
AEG,Bandar Udara Aek Godang,Domestik,Padang Sidempuan,2021-02-10 22:14:07,2021-02-10 22:14:07
GNS,Bandar Udara Binaka,Domestik,Gunung Sitoli,2021-02-10 22:14:07,2021-02-10 22:14:07
LSE,Bandar Udara Lasondre,Domestik,Pulau-pulau Batu,2021-02-10 22:14:07,2021-02-10 22:14:07
DUM,Bandar Udara Pinang Kampai,Domestik,Dumai,2021-02-10 22:14:07,2021-02-10 22:14:07
SEQ,Bandar Udara Sungai Pakning,Domestik,Bengkalis,2021-02-10 22:14:07,2021-02-10 22:14:07
PPR,Bandar Udara Pasir Pengaraian,Domestik,Pasir Pengaraian,2021-02-10 22:14:07,2021-02-10 22:14:07
SIQ,Bandar Udara Dabo,Domestik,Singkep,2021-02-10 22:14:07,2021-02-10 22:14:07
RGT,Bandar Udara Japura,Domestik,Rengat,2021-02-10 22:14:07,2021-02-10 22:14:07
TJB,Bandar Udara Sei Bati,Domestik,Karimun,2021-02-10 22:14:07,2021-02-10 22:14:07
NTX,Bandar Udara Ranai,Domestik,Natuna,2021-02-10 22:14:07,2021-02-10 22:14:07
MWK,Bandar Udara Matak,Domestik,Pal Matak,2021-02-10 22:14:07,2021-02-10 22:14:07
RKO,Bandar Udara Rokot,Domestik,Sipura,2021-02-10 22:14:07,2021-02-10 22:14:07
DJB,Bandar Udara Sultan Thaha Syarifuddin,Domestik,Jambi,2021-02-10 22:14:07,2021-02-10 22:14:07
KRC,Bandar Udara Depati Parbo,Domestik,Kerinci,2021-02-10 22:14:07,2021-02-10 22:14:07
BKS,Bandar Udara Fatmawati Soekarno,Domestik,Bengkulu,2021-02-10 22:14:07,2021-02-10 22:14:07
MPC,Bandar Udara Mukomuko,Domestik,Mukomuko,2021-02-10 22:14:07,2021-02-10 22:14:07
PGK,Bandar Udara Depati Amir,Domestik,Pangkalpinang,2021-02-10 22:14:07,2021-02-10 22:14:07
TJQ,Bandar Udara H. A. S. Hanandjoeddin,Domestik,Tanjung Pandan,2021-02-10 22:14:07,2021-02-10 22:14:07
LLG,Bandar Udara Silampari,Domestik,Lubuklinggau,2021-02-10 22:14:07,2021-02-10 22:14:07
PDO,Bandar Udara Pendopo,Domestik,Empat Lawang Jawa,2021-02-10 22:14:07,2021-02-10 22:14:07
PCB,Bandar Udara Pondok Cabe,Domestik,Pamulang,2021-02-10 22:14:07,2021-02-10 22:14:07
PPJ,Bandar Udara Pulau Panjang, Kepulauan Seribu,2021-02-10 22:14:07,2021-02-10 22:14:07
TSY,Bandar Udara Cibeureum,Domestik,Tasikmalaya,2021-02-10 22:14:07,2021-02-10 22:14:07
CBN,Bandar Udara Cakrabhuwana,Domestik,Cirebon,2021-02-10 22:14:07,2021-02-10 22:14:07
CXP,Bandar Udara Tunggul Wulung,Domestik,Cilacap,2021-02-10 22:14:07,2021-02-10 22:14:07
PWL,Bandar Udara Wirasaba,Domestik,Purbalingga,2021-02-10 22:14:07,2021-02-10 22:14:07
KWB,Bandar Udara Dewa Daru,Domestik,Karimunjawa,2021-02-10 22:14:07,2021-02-10 22:14:07
CPF,Bandar Udara Ngloram,Domestik,Cepu,2021-02-10 22:14:07,2021-02-10 22:14:07
MLG,Bandar Udara Abdul Rachman Saleh,Domestik,Malang,2021-02-10 22:14:07,2021-02-10 22:14:07
